
Consulta do plano de contas 1 - DOURALEX - 9014 PARTICIPANTE

Código;Classificação;Nome;Apelido;Consolidada;Relatório;Concilia Aut.;Ct. Obrigatória;Fórmula
361;01.1.2.08.004;     IRPJ a Compensar ;IRPJRECUP; ;Balanço patrimonial;NÃO;NÃO;
370;01.1.2.08.005;     Contribuição Social Estimada a Compensar ;CSRECUP; ;Balanço patrimonial;NÃO;NÃO;
388;01.1.2.08.006;     PIS a Compensar ;PISRECUP; ;Balanço patrimonial;NÃO;NÃO;
396;01.1.2.08.007;     COFINS a Compensar ;COFINSRECUP; ;Balanço patrimonial;NÃO;NÃO;
400;01.1.2.08.008;     CSLL a Compensar ;CSLLRECUP; ;Balanço patrimonial;NÃO;NÃO;
408;01.1.2.08.009;     IRRF a Compensar ;IRRFRECUP; ;Balanço patrimonial;NÃO;NÃO;
4359;01.1.2.08.010;     ISS a Compensar ;ISSRECUP; ;Balanço patrimonial;NÃO;NÃO;
6130;01.1.2.08.011;     IRPJ Estimada a Compensar ;IRPJESTRECUP; ;Balanço patrimonial;NÃO;NÃO;
6793;01.1.2.08.012;     IRRF a Compensar s/ Aplicação Financeira ;IRRFSAPLICFINAN; ;Balanço patrimonial;NÃO;NÃO;
9814;01.1.2.08.013;     Impostos a Compensar ;IMPOSTOSACOMPENSAR; ;Balanço patrimonial;NÃO;NÃO;
418;01.1.2.09;   EMPRÉSTIMOS;; ;Balanço patrimonial;NÃO;NÃO;
5665;01.1.2.09.001;     Edilson Jose Giachini e Outros ;EDILSON; ;Balanço patrimonial;NÃO;NÃO;
7196;01.1.2.09.002;     Empréstimo ao Sócio Carlos ;CARLOS; ;Balanço patrimonial;NÃO;NÃO;
7200;01.1.2.09.003;     Empréstimo Bancário ;EMPRÉSTIMO; ;Balanço patrimonial;NÃO;NÃO;
7404;01.1.2.09.004;     Empréstimo para Terceiros ;EMPR.; ;Balanço patrimonial;NÃO;NÃO;
7676;01.1.2.09.005;     Empréstimo concedido Luciana ;LUCIANA; ;Balanço patrimonial;NÃO;NÃO;
7684;01.1.2.09.006;     Casa Lucimara ;LUCIMARA; ;Balanço patrimonial;NÃO;NÃO;
8052;01.1.2.09.007;     Emprestimo ;EMPRESTIMO; ;Balanço patrimonial;NÃO;NÃO;
8192;01.1.2.09.008;     Empréstimo Concedido Bela Vista Motos ;EMPRESTBELA; ;Balanço patrimonial;NÃO;NÃO;
8206;01.1.2.09.009;     Empréstimo Concedido Ponta Porã Motos ;EMPRESTPONTA; ;Balanço patrimonial;NÃO;NÃO;
8214;01.1.2.09.010;     Empréstimo Concedido Almeida e Cruz ;EMPRESTALMEIDA; ;Balanço patrimonial;NÃO;NÃO;
8230;01.1.2.09.011;     Empréstimo Concedido Construtora Dourados ;EMPRESTCONSTRUTORA; ;Balanço patrimonial;NÃO;NÃO;
8265;01.1.2.09.012;     Empréstimo Concedido Campo Grande ;EMPRESTCG; ;Balanço patrimonial;NÃO;NÃO;
8273;01.1.2.09.013;     Empréstimo Concedido Oxigênio Modelo ;EMPRESTOXIGENIO; ;Balanço patrimonial;NÃO;NÃO;
8281;01.1.2.09.014;     Empréstimo Concedido Oxisolda ;EMPRESTOXISOLDA; ;Balanço patrimonial;NÃO;NÃO;
8290;01.1.2.09.015;     Empréstimo Concedido WG ;EMPRESTWG; ;Balanço patrimonial;NÃO;NÃO;
426;01.1.2.10;   ESTOQUES;; ;Balanço patrimonial;NÃO;NÃO;
434;01.1.2.10.001;     Estoque de Mercadorias ;ESTMERC; ;Balanço patrimonial;NÃO;NÃO;
442;01.1.2.10.002;     Estoque de Matéria-Prima ;ESTMP; ;Balanço patrimonial;NÃO;NÃO;
450;01.1.2.10.003;     Estoque de Material de Consumo de Almox ;ESTMCO; ;Balanço patrimonial;NÃO;NÃO;
469;01.1.2.10.004;     Estoque de Produtos Em Elaboração ;ESTELAB; ;Balanço patrimonial;NÃO;NÃO;
477;01.1.2.10.005;     Estoque de Produtos Acabados ;ESTACAB; ;Balanço patrimonial;NÃO;NÃO;
4928;01.1.2.10.006;     Estoque de Motocicletas ;ESTMOT; ;Balanço patrimonial;NÃO;NÃO;
4936;01.1.2.10.007;     Estoque de Motor de Popa ;ESTMOTOR; ;Balanço patrimonial;NÃO;NÃO;
5142;01.1.2.10.008;     Estoque de Lubrificantes ;ESTQLUBRIF; ;Balanço patrimonial;NÃO;NÃO;
5460;01.1.2.10.009;     Estoque de Mercadoria - Filial 1 ;ESTMERCFILIAL1; ;Balanço patrimonial;NÃO;NÃO;
6149;01.1.2.10.010;     Estoque Mercadorias de Produtos e Insumos ;ESTMERPRDINS; ;Balanço patrimonial;NÃO;NÃO;
6513;01.1.2.10.011;    OUTRAS ENTRADAS;OUTRASENTRADAS; ;Balanço patrimonial;NÃO;NÃO;
6521;01.1.2.10.012;     Mercadorias Bonificadas ;MERCBONIF; ;Balanço patrimonial;NÃO;NÃO;
7102;01.1.2.10.013;     Estoque de Terrenos ;ESTTERRENOS; ;Balanço patrimonial;NÃO;NÃO;
7765;01.1.2.10.014;     Conta Corrente Matriz e Filial ;CONTACORRENTTE; ;Balanço patrimonial;NÃO;NÃO;
8036;01.1.2.10.015;     Transferencia de Numerarios Matriz/Filial ;TRANSNUME; ;Balanço patrimonial;NÃO;NÃO;
485;01.1.2.11;   DEDUÇÕES DOS DIREITOS;; ;Balanço patrimonial;NÃO;NÃO;
507;01.1.2.11.002;     Provisão P/ Créditos de Liquidação Duvido ;PROVCRED; ;Balanço patrimonial;NÃO;NÃO;
515;01.1.2.11.003;     Provisão P/Ajuste Aplicação Em Ouro ;PROVOURO; ;Balanço patrimonial;NÃO;NÃO;
6432;01.1.2.11.004;     (-)Cheques a compensar ;CHCOMP; ;Balanço patrimonial;NÃO;NÃO;
8788;01.1.2.11.005;     Duplicatas a Receber ;; ;Balanço patrimonial;NÃO;NÃO;
7854;01.1.2.11.006;     Honorários a Receber ;HONOREC; ;Balanço patrimonial;NÃO;NÃO;
523;01.1.2.12;   REMESSA DE PRODUTOS/MERCADORIAS;; ;Balanço patrimonial;NÃO;NÃO;
531;01.1.2.12.001;     Remessa de Produtos/Mercadorias ;REMMERPRO; ;Balanço patrimonial;NÃO;NÃO;
540;01.1.2.13;   RETORNO DE PRODUTOS/MERCADORIAS;; ;Balanço patrimonial;NÃO;NÃO;
558;01.1.2.13.001;     Retorno de Produtos/Mercadorias ;RETMERPRO; ;Balanço patrimonial;NÃO;NÃO;
5100;01.1.2.14;   DESPESAS ANTECIPADAS;DESPANTEC; ;Balanço patrimonial;NÃO;NÃO;
567;01.1.2.14.001;     Encargos financeiros ;ENCFINANCEIROS; ;Balanço patrimonial;NÃO;NÃO;
9784;01.1.2.15;   DESPESAS DE TERCEIROS A RECUPERAR;; ;Balanço patrimonial;NÃO;NÃO;
9792;01.1.2.15.001;     Despesas de Coligadas a Recuperar ;DESPCOLIG; ;Balanço patrimonial;NÃO;NÃO;
8800;01.1.2.15.002;     Despesas de Terceiros ;DESPTERC; ;Balanço patrimonial;NÃO;NÃO;
566;01.1.3;  DESPESAS DO EXERCÍCIO SEGUINTE;; ;Balanço patrimonial;NÃO;NÃO;
574;01.1.3.01;   SEGUROS A APROPRIAR;; ;Balanço patrimonial;NÃO;NÃO;
582;01.1.3.01.001;     Seguros Contra Incêndios a Apropriar ;INCENDIO; ;Balanço patrimonial;NÃO;NÃO;
590;01.1.3.01.002;     Seguros Contra Roubo a Apropriar ;ROUBO; ;Balanço patrimonial;NÃO;NÃO;
604;01.1.3.01.003;     Seguros Contra Lucros Cessantes ;LUCROSCESS; ;Balanço patrimonial;NÃO;NÃO;
612;01.1.3.02;   ASSINATURAS DE PERIÓDICOS A APROPRIAR;; ;Balanço patrimonial;NÃO;NÃO;
620;01.1.3.02.001;     Assinatura de Boletins Jornais Revistas ;ASSJORNAIS; ;Balanço patrimonial;NÃO;NÃO;
639;01.1.3.03;   ALUGUEL ANTECIPADO A APROPRIAR;; ;Balanço patrimonial;NÃO;NÃO;
647;01.1.3.03.001;     Aluguel de Bens Imóveis ;ALIMOV; ;Balanço patrimonial;NÃO;NÃO;
655;01.1.3.03.002;     Aluguel de Bens Móveis ;ALMOV; ;Balanço patrimonial;NÃO;NÃO;
9890;01.1.3.03.003;     Caução de Aluguel ;; ;Balanço patrimonial;NÃO;NÃO;
6343;01.1.3.04;   PROVISÃO P/ DEVEDORES DUVIDOSOS;; ;Balanço patrimonial;NÃO;NÃO;
6351;01.1.3.04.001;     (-) Provisão p/ devedores duvidosos ;PROVDEVDUV; ;Balanço patrimonial;NÃO;NÃO;
9113;01.1.3.05;   CARTAS DE CRÉDITO DISPONÍVEIS;; ;Balanço patrimonial;NÃO;NÃO;
9121;01.1.3.05.001;     Carta de Crédito - Equip. Irrigação - Grupo 1237 Quota 6038 ;; ;Balanço patrimonial;NÃO;NÃO;
663;01.2; ATIVO NÃO CIRCULANTE;; ;Balanço patrimonial;NÃO;NÃO;
671;01.2.1;  ATIVO REALIZÁVEL A LONGO PRAZO;; ;Balanço patrimonial;NÃO;NÃO;
5673;01.2.1.001;    Aplicações Financeiras DI LP ;APLICFINAN; ;Balanço patrimonial;NÃO;NÃO;
5681;01.2.1.002;    Titulos de Capitalização Banco do Brasil ;OUROCAP; ;Balanço patrimonial;NÃO;NÃO;
680;01.2.1.01;   TÍTULOS A RECEBER DE TERCEIROS;; ;Balanço patrimonial;NÃO;NÃO;
698;01.2.1.01.001;     Nota Promissória a Receber ;NPROMREC; ;Balanço patrimonial;NÃO;NÃO;
4790;01.2.1.01.002;     Titulo de Capitalização ;TITULOCAP; ;Balanço patrimonial;NÃO;NÃO;
6360;01.2.1.01.003;     Depósito judicial trabalhista ;DEPJUDTRAB; ;Balanço patrimonial;NÃO;NÃO;
701;01.2.1.02;   DEPÓSITOS JUDICIAIS;; ;Balanço patrimonial;NÃO;NÃO;
710;01.2.1.02.001;     Causas Trabalhistas ;TRABALH; ;Balanço patrimonial;NÃO;NÃO;
728;01.2.1.02.002;     Pis S/Receita Operacional ;PISJUDIC; ;Balanço patrimonial;NÃO;NÃO;
736;01.2.1.03;   EMPRÉSTIMOS COMPULSÓRIOS ELETROBRÁS;; ;Balanço patrimonial;NÃO;NÃO;
744;01.2.1.03.001;     Adicionais Conversíveis Créditos Eletrobr ;EMPCOMPELETROBRAS; ;Balanço patrimonial;NÃO;NÃO;
752;01.2.1.03.002;     Créditos Eletrobrás ;CREDELETROBRAS; ;Balanço patrimonial;NÃO;NÃO;
760;01.2.1.03.003;     Juros S/Créditos Eletrobrás a Receber ;JRSELETROBRAS; ;Balanço patrimonial;NÃO;NÃO;
787;01.2.1.04;   EMPRÉSTIMOS A PESSOAS LIGADAS;; ;Balanço patrimonial;NÃO;NÃO;
3883;01.2.1.04.001;     Empréstimos a Pessoas Ligadas ;EMPRASA; ;Balanço patrimonial;NÃO;NÃO;
809;01.2.2;  INVESTIMENTOS;; ;Balanço patrimonial;NÃO;NÃO;
3905;01.2.2.01;   INVESTIMENTOS EM COLIGADAS E CONTROLADAS;; ;Balanço patrimonial;NÃO;NÃO;
3913;01.2.2.01.001;     Empresa 1 S/A ;EMPR1SA; ;Balanço patrimonial;NÃO;NÃO;
7439;01.2.2.01.002;     Cota Capital Cooperativa ;COTACAP; ;Balanço patrimonial;NÃO;NÃO;
817;01.2.3;  IMOBILIZADO;; ;Balanço patrimonial;NÃO;NÃO;
825;01.2.3.01;   BENS E DIREITOS EM USO;; ;Balanço patrimonial;NÃO;NÃO;
833;01.2.3.01.001;     Máquinas e Equipamentos ;MAQEQUIPS; ;Balanço patrimonial;NÃO;NÃO;
841;01.2.3.01.002;     Móveis e Utensílios ;MOVUTENS; ;Balanço patrimonial;NÃO;NÃO;
850;01.2.3.01.003;     Ferramentas ;FERRAM; ;Balanço patrimonial;NÃO;NÃO;
868;01.2.3.01.004;     Imóveis ;IMOVEIS; ;Balanço patrimonial;NÃO;NÃO;
876;01.2.3.01.005;     Veículos ;VEICULOS; ;Balanço patrimonial;NÃO;NÃO;
884;01.2.3.01.006;     Computadores e Periféricos ;COMPUTADORES; ;Balanço patrimonial;NÃO;NÃO;
892;01.2.3.01.007;     Direito de Uso de Linha Telefônica ;DUFONE; ;Balanço patrimonial;NÃO;NÃO;
906;01.2.3.01.008;     Softwares ;SOFT; ;Balanço patrimonial;NÃO;NÃO;
914;01.2.3.01.009;     Marcas e Patentes de Invenção ;MARCAS; ;Balanço patrimonial;NÃO;NÃO;
922;01.2.3.01.010;     Benfeitorias Em Imóveis de Terceiros ;BENFEIT; ;Balanço patrimonial;NÃO;NÃO;
4421;01.2.3.01.011;     Instalações ;INSTALAÇÕES; ;Balanço patrimonial;NÃO;NÃO;
4430;01.2.3.01.012;     Terrenos ;TERRENOS; ;Balanço patrimonial;NÃO;NÃO;
4448;01.2.3.01.013;     Prédios e Benfeitorias ;PREDIOS; ;Balanço patrimonial;NÃO;NÃO;
4456;01.2.3.01.014;     Caminhões e Carretas ;CAMINHOES; ;Balanço patrimonial;NÃO;NÃO;
4464;01.2.3.01.015;     Vasilhames ;VASILHAME; ;Balanço patrimonial;NÃO;NÃO;
5592;01.2.3.01.016;     Gravadores ;GRAVADORES; ;Balanço patrimonial;NÃO;NÃO;
6157;01.2.3.01.017;     Motocicletas ;MOTOC; ;Balanço patrimonial;NÃO;NÃO;
6807;01.2.3.01.018;     Construções em Andamento ;CONSTAND; ;Balanço patrimonial;NÃO;NÃO;
9830;01.2.3.01.019;     Propriedade Rural ;; ;Balanço patrimonial;NÃO;NÃO;
1066;01.2.3.02;   BENS EM CONSTRUÇÃO;; ;Balanço patrimonial;NÃO;NÃO;
8850;01.2.3.02.001;     Construção Rua dos Missionários ;CONSTRRUAMISSIO; ;Balanço patrimonial;NÃO;NÃO;
930;01.2.3.04;   PARTICIPAÇÕES EM CONSÓRCIOS;; ;Balanço patrimonial;NÃO;NÃO;
949;01.2.3.04.001;     Adiantamento Consórcio de Veiculos ;CONSORCIO; ;Balanço patrimonial;NÃO;NÃO;
7374;01.2.3.04.002;     Consórcios ;CONSORCIOS; ;Balanço patrimonial;NÃO;NÃO;
9130;01.2.3.04.003;     Fundo Reserva de Consórcios ;FDRSVCON; ;Balanço patrimonial;NÃO;NÃO;
9270;01.2.3.04.004;     Equip.Irrigação - Grupo 1411 Quota 8215 ;; ;Balanço patrimonial;NÃO;NÃO;
9288;01.2.3.04.005;     HB20S Vision - Grupo 1237 Quota 6038 ;; ;Balanço patrimonial;NÃO;NÃO;
9296;01.2.3.04.006;     Kwid Zen - Grupo 1347 Quota 6690 ;; ;Balanço patrimonial;NÃO;NÃO;
9300;01.2.3.04.007;     Kwid Zen - Grupo 1470 Quota 8895 ;; ;Balanço patrimonial;NÃO;NÃO;
9318;01.2.3.04.008;     Onix LT - Grupo 1232 Quota 6997 ;; ;Balanço patrimonial;NÃO;NÃO;
9326;01.2.3.04.009;     Onix LT - Grupo 1400 Quota 7768 ;; ;Balanço patrimonial;NÃO;NÃO;
9334;01.2.3.04.010;     Voyage Flex - Grupo 1444 Quota 2 ;; ;Balanço patrimonial;NÃO;NÃO;
9342;01.2.3.04.011;     Polo1.0 Flex 12V 5P - Grupo 1247 Quota 825 ;; ;Balanço patrimonial;NÃO;NÃO;
9350;01.2.3.04.012;     Onix LT - Grupo 1360 Quota 8853 ;; ;Balanço patrimonial;NÃO;NÃO;
9369;01.2.3.04.013;     Onix LT - Grupo 1400 Quota 6691 ;; ;Balanço patrimonial;NÃO;NÃO;
9377;01.2.3.04.014;     Onix Hatch - Grupo 1240 Quota 7760 ;; ;Balanço patrimonial;NÃO;NÃO;
9385;01.2.3.04.015;     Onix Hatch - Grupo 1240 Quota 2747 ;; ;Balanço patrimonial;NÃO;NÃO;
957;01.2.3.05;   (-) DEPRECIAÇÃO ACUMULADA;; ;Balanço patrimonial;NÃO;NÃO;
965;01.2.3.05.001;     (-) Máquinas e Equipamentos - Depreciação ;DEPRECMAQS; ;Balanço patrimonial;NÃO;NÃO;
973;01.2.3.05.002;     (-) Móveis e Utensílios - Depreciação ;DEPRECMOVEIS; ;Balanço patrimonial;NÃO;NÃO;
981;01.2.3.05.003;     (-) Ferramentas - Depreciação ;DEPRECFERRAM; ;Balanço patrimonial;NÃO;NÃO;
990;01.2.3.05.004;     (-) Prédios e Benfeitorias - Depreciação ;DEPRECIMOV; ;Balanço patrimonial;NÃO;NÃO;
1007;01.2.3.05.005;     (-) Veículos - Depreciação ;DEPRECVEIC; ;Balanço patrimonial;NÃO;NÃO;
1015;01.2.3.05.006;     (-) Computadores Periféricos - Depreciação ;DEPRECCOMPUT; ;Balanço patrimonial;NÃO;NÃO;
4685;01.2.3.05.007;     (-) Instalações - Depreciação ;DEPRECINST; ;Balanço patrimonial;NÃO;NÃO;
